company,report_year,benchmark_activity,benchmark_code,benchmark_objective,rag_activity,rag_code,rag_label,why,category
AKZO NOBEL NV,2024,remediation of contaminated sites and areas,2.4,PPC,Remediation of contaminated sites and areas,2.4,PP,"Same normalized sub-activity code, but no label+code match.","Correct code, missing or unstable label"
ASML HOLDING N.V.,2024,acquisition and ownership of buildings,7.7,CCM,Acquisition and ownership of buildings,7.7,CCA,"Same normalized sub-activity code, but no label+code match.","Correct code, missing or unstable label"
ASML HOLDING N.V.,2024,renovation of existing buildings,7.2,CCM,Renovation of existing buildings,7.2,CCA,"Same normalized sub-activity code, but no label+code match.","Correct code, missing or unstable label"
ATOSS Software SE,2023,,,,"The undertaking carries out, funds or has exposures to construction and safe operationof new nuclear installations to produce electricity or process heat, including for thepurposes of district heating or industrial processes such as hydrogen production, as wellas their safety upgrades, using best available technologies.",,,,Missing subcode
ATOSS Software SE,2023,,,,"The undertaking carries out, funds or has exposures to construction or operation of electricitygeneration facilities that produce electricity using fossil gaseous fuels.",,,,Missing subcode
ATOSS Software SE,2023,,,,"The undertaking carries out, funds or has exposures to construction, refurbishment andoperation of heat generation facilities that produce heat/cool using fossil gaseous fuels.",,,,Missing subcode
ASML HOLDING N.V.,2024,,,,Renovation of existing buildings,7.2,CCM,,Over-generation or duplicate-like row
ASML HOLDING N.V.,2024,,,,Acquisition and ownership of buildings,7.7,CCM,,Over-generation or duplicate-like row
ASML HOLDING N.V.,2024,,,,Renovation of existing buildings,3.2,CE,,Over-generation or duplicate-like row
"ACS, Actividades de Construcción y Servicios, S.A.",2023,,,,Electricity generation using concentrated solar power (CSP) technology,4.2,CCM,,Unmatched extracted activity
"ACS, Actividades de Construcción y Servicios, S.A.",2023,,,,Electricity generation from fossil gaseous fuels,4.29,CCM,,Unmatched extracted activity
"ACS, Actividades de Construcción y Servicios, S.A.",2023,,,,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4,CCM,,Unmatched extracted activity
